what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545510958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545512737
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1280545517165
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545519079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545520182
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1280545523727
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1280545527778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545529721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545546627
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280545549111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545553676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545587460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545593870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545625752
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280545648977
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280545649133
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280545651099
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1280545655013
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280545655054
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280545655906
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280545659860
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280545660002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280545661883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545663821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545667395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545668271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545671469
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1280545680102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545684562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280545690514
